ID_REF	VALUE
7901495	5.04
7901712	3.73
7903026	2.94
7904867	2.72
7904946	2.72
7905039	2.93
7906233	3.19
7907464	5.54
7907747	3.11
7908155	4.39
7909125	3.78
7909283	10.25
7910676	7.07
7910946	2.89
7911094	2.87
7911108	6.49
7912207	4.91
7912625	3.87
7913799	3.03
7913803	3.48
7914038	4.13
7914139	8.93
7914350	6.54
7914807	3.72
7916075	5.41
7916491	5.38
7917735	3.12
7917739	4.99
7918153	8.24
7919153	4.13
7919403	4.13
7919574	3.41
7919778	3.44
7920025	7.61
7923003	3.03
7923440	7.51
7924205	3.35
7925126	3.65
7925318	4.95
7925440	5.03
7926383	4.14
7927548	10.36
7927706	7.63
7928328	2.59
7931928	2.78
7932614	3.92
7933088	3.18
7933178	7.91
7935142	4.15
7936282	2.96
7939640	4.12
7942061	6.05
7943734	3.61
7944111	5.05
7945031	4.72
7945728	3.87
7946659	5.93
7947932	3.42
7948033	6.36
7948139	3.89
7948397	6.33
7950030	4.66
7950282	7.31
7951349	5.29
7951435	9.41
7951668	4.54
7952396	5.78
7953761	4.17
7953763	6.67
7954602	6.72
7955421	3.29
7957006	3.84
7957497	3.67
7959572	4.08
7959823	3.31
7959825	4.21
7960359	12.54
7960846	3.9
7960863	7.1
7962248	3.75
7963588	4.16
7964598	4.61
7964629	3.54
7964685	3.14
7964720	2.91
7965842	9.52
7966425	4.51
7967032	6.6
7968252	7.04
7968970	3.45
7970945	3.37
7971124	9.8
7971367	4.15
7971903	2.96
7972414	4.68
7972709	3.87
7974192	3.09
7974687	2.77
7976152	7.09
7977117	3.58
7978909	7.47
7979131	5.67
7980688	3.39
7981779	3.08
7982935	10.52
7983270	3.5
7983377	2.98
7983391	3.15
7984188	7.35
7986635	3.42
7987308	3.3
7988342	3.92
7988344	5.15
7988348	3.66
7988412	5.24
7990806	2.88
7992067	6.89
7992131	5.87
7992136	6.79
7992742	3.9
7992841	6.42
7995523	5.23
7999171	5.29
8000614	3.53
8001183	3.21
8001348	6.08
8002027	5.69
8003226	4.9
8003857	7.63
8003889	4.62
8005433	7.55
8005992	2.91
8006081	7.78
8007497	3.36
8007499	3.79
8007501	4.98
8007605	3.19
8009006	5.05
8010186	5.7
8010210	3.62
8012841	7.18
8015796	9.31
8016733	10.04
8020453	4.63
8021013	5.59
8021683	3.42
8022043	9.07
8022174	4.14
8023061	6.16
8023547	2.75
8023644	3.75
8023755	3.56
8027266	4.34
8027429	9.15
8027437	6.85
8028002	6.93
8029278	4.73
8030826	4.98
8035787	3.83
8035859	6.89
8036170	5.73
8036172	7.34
8036557	11.52
8040336	3.96
8041636	5.56
8042460	3.28
8043022	5.18
8043024	2.97
8048108	7.84
8049073	11.57
8049235	3.74
8052303	3.02
8052592	4.82
8053404	2.69
8055137	5.36
8055309	7.77
8057032	3.04
8057561	11.26
8058145	3.39
8061068	4.21
8061092	4.59
8061881	6.71
8063349	4.13
8063549	8.01
8065163	2.86
8065198	2.98
8065332	5.41
8065990	4.04
8066273	5.01
8066528	7.07
8067948	5.09
8068020	4.67
8068610	7.61
8068733	4.14
8069206	3.86
8070871	4.77
8070930	6.2
8071202	3.54
8072775	4.84
8074059	4.82
8075308	3.89
8075776	5.07
8077351	7.42
8078185	4.74
8078384	4.51
8079151	6.27
8079588	3.75
8082795	5.06
8083061	5
8085768	5.75
8086370	2.85
8086515	3.32
8088476	3.5
8090662	6.94
8091118	4.93
8091186	3.33
8091239	3.4
8093035	6.75
8093037	4.75
8094355	5.84
8094686	5.06
8094986	4.38
8095159	9.05
8095758	8.92
8096413	3.48
8096531	3.34
8097285	3.31
8097447	7.21
8097936	7.68
8098004	2.92
8098463	3.97
8099140	3.44
8099922	7.8
8100123	2.95
8100290	2.88
8100454	3.04
8101778	6.23
8103849	2.91
8104129	6.83
8104659	3.58
8105061	6.98
8105300	6.88
8105321	7.03
8108433	4.93
8109595	5.79
8109661	3.42
8112018	8.18
8112609	6.02
8112855	2.87
8114898	6.44
8115010	2.98
8115873	6.04
8116346	6.09
8119076	7.28
8119856	3.34
8121142	3.44
8121269	6.63
8121330	5.75
8121332	2.95
8121483	5.73
