ID_REF	VALUE
7901495	4.65
7901712	4.14
7903026	3.01
7904867	2.95
7904946	2.95
7905039	2.87
7906233	4.51
7907464	5.78
7907747	3.53
7908155	4.89
7909125	3.91
7909283	10.18
7910676	7.05
7910946	2.9
7911094	2.81
7911108	5.24
7912207	4.78
7912625	4.17
7913799	3.39
7913803	3.7
7914038	4.37
7914139	9.08
7914350	7.06
7914807	3.34
7916075	4.66
7916491	5.44
7917735	3.3
7917739	4.45
7918153	7.66
7919153	4.3
7919403	4.3
7919574	4.06
7919778	3.67
7920025	7.94
7923003	2.82
7923440	5.94
7924205	3.54
7925126	3.74
7925318	4.73
7925440	5.17
7926383	4.38
7927548	10.4
7927706	6.75
7928328	2.9
7931928	3.1
7932614	3.95
7933088	3.54
7933178	7.75
7935142	4.43
7936282	2.98
7939640	4.15
7942061	5.66
7943734	3.33
7944111	5.04
7945031	4.74
7945728	4.06
7946659	5.86
7947932	3.62
7948033	5.87
7948139	4.26
7948397	5.44
7950030	4.84
7950282	7.64
7951349	5.45
7951435	9.5
7951668	4.07
7952396	5
7953761	4.3
7953763	6.8
7954602	5.54
7955421	2.95
7957006	3.52
7957497	3.31
7959572	2.98
7959823	3.14
7959825	4.57
7960359	13.07
7960846	3.89
7960863	7.27
7962248	3.91
7963588	3.5
7964598	4.56
7964629	4.01
7964685	3.43
7964720	3
7965842	9.2
7966425	5.15
7967032	6.28
7968252	7.39
7968970	3.69
7970945	3.46
7971124	10.08
7971367	3.41
7971903	2.89
7972414	4.64
7972709	3.68
7974192	3.14
7974687	2.74
7976152	5.05
7977117	3.56
7978909	7.51
7979131	5.4
7980688	3.57
7981779	3.37
7982935	10.52
7983270	3.47
7983377	2.69
7983391	3.18
7984188	6.6
7986635	3.74
7987308	3.08
7988342	4.99
7988344	4.92
7988348	3.22
7988412	5.28
7990806	2.85
7992067	7.2
7992131	6.08
7992136	6.79
7992742	4.2
7992841	6.63
7995523	5.95
7999171	5.45
8000614	3.86
8001183	3
8001348	6.21
8002027	6.15
8003226	4.53
8003857	8.3
8003889	5.52
8005433	7.93
8005992	2.85
